City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Pierre,44.3683,-100.351,21.52,44,4,7.56,US,1621986994
Guangyuan,32.442,105.823,17.66,77,93,1.97,CN,1621986994
Bandundu Province,-3.3167,17.3667,23.26,68,95,0.88,CD,1621986951
Aktash,50.3,87.7333,8.77,69,79,1.41,RU,1621986995
Stephenville,32.2207,-98.2023,27.19,72,90,3.09,US,1621986969
Kuytun,54.3419,101.5036,7.41,83,100,3.79,RU,1621986996
Omboué,-1.5746,9.2618,25.39,94,97,2.99,GA,1621986997
Kotlas,61.2611,46.6556,4.72,87,100,3.46,RU,1621986997
Belyy Yar,53.6039,91.3903,13.94,82,0,2.21,RU,1621986669
Opuwo,-18.0607,13.84,15.76,44,0,3.58,NA,1621986998
Fairbanks,64.8378,-147.7164,19.01,31,75,3.6,US,1621986974
Roebourne,-20.7833,117.1333,20.33,59,0,8.62,AU,1621986878
Jishu,44.3167,126.8,15.33,40,96,5.64,CN,1621986999
Kiryat Gat,31.61,34.7642,20.36,57,0,0.79,IL,1621986999
Sinnamary,5.3833,-52.95,25.92,90,100,2.59,GF,1621987000
Langen,49.9933,8.6728,9.16,77,20,0.89,DE,1621987000
Nyurba,63.2842,118.3319,12.04,51,100,2.05,RU,1621986861
Mandera,3.9366,41.867,24.39,57,8,4.34,KE,1621987001
Bajil,15.0584,43.2851,30.66,42,0,1.66,YE,1621987001
Barcelos,41.5388,-8.6151,16.61,70,100,1.99,PT,1621987001
Pangody,65.85,74.4859,5.15,49,99,3.5,RU,1621986927
North Bend,43.4065,-124.2243,14.1,81,90,5.14,US,1621986897
Pundaguitan,6.3711,126.1689,27.51,75,100,1.54,PH,1621987002
Macheng,31.1783,115.0319,18.44,97,100,0.71,CN,1621987003
Weinan,34.5036,109.5089,17.83,43,82,5.64,CN,1621987004
Bonavista,48.6499,-53.1147,10.0,78,87,9.97,CA,1621987004
Vestnes,62.6264,7.0884,10.12,76,89,2.04,NO,1621987008
Tiznit Province,29.5833,-9.5,17.12,74,100,1.66,MA,1621987009
Gamba,-2.65,10.0,25.11,94,54,1.99,GA,1621987009
Mirny,62.5353,113.9611,9.72,63,40,3.06,RU,1621987010
Rolante,-29.6506,-50.5758,11.94,79,1,1.65,BR,1621987011
Laguna,38.421,-121.4238,28.69,27,1,1.79,US,1621986752
Coahuayana Viejo,18.7333,-103.6833,29.27,54,49,2.75,MX,1621986893
Mae Sai,20.4335,99.8762,23.62,82,72,0.12,TH,1621987013
Beloha,-25.1667,45.05,16.2,82,6,2.48,MG,1621987013
Kharabali,47.4196,47.2568,14.45,82,36,5.79,RU,1621987014
Arman',59.7,150.1667,8.05,59,33,3.59,RU,1621987014
Castrillón,43.3979,-6.7922,8.45,93,100,0.22,ES,1621987015
Pangkalanbuun,-2.6833,111.6167,26.24,83,66,1.33,ID,1621987015
Mapiri,-15.25,-68.1667,19.28,94,73,0.47,BO,1621987016
Visby,57.6409,18.296,10.07,100,90,2.57,SE,1621987016
Havøysund,70.9963,24.6622,1.49,69,21,0.68,NO,1621986884
Fayaoué,-20.65,166.5333,22.79,56,4,2.37,NC,1621987017
Natchitoches,31.7668,-93.1335,24.93,83,90,4.63,US,1621987017
Port Blair,11.6667,92.75,29.02,84,90,5.66,IN,1621986856
Calahorra,42.3051,-1.9652,9.42,71,45,2.59,ES,1621987018
Porto Walter,-8.2686,-72.7439,23.66,87,88,1.24,BR,1621987019
Matagami,49.7502,-77.6328,22.06,68,20,3.49,CA,1621986967
São João da Barra,-21.6403,-41.0511,20.27,71,63,3.16,BR,1621987019
Kalmunai,7.4167,81.8167,26.01,75,100,1.27,LK,1621986758
Luwingu,-10.2621,29.9271,10.17,89,6,2.01,ZM,1621986839
Kanye,-24.9667,25.3327,10.55,48,100,1.42,BW,1621987020
Biskamzha,53.4497,89.5272,13.92,97,100,2.48,RU,1621987021
Saint-Pierre,-21.3393,55.4781,20.77,72,20,3.09,RE,1621986903
Carballo,43.213,-8.691,11.48,88,100,2.25,ES,1621987021
Pokhara,28.2333,83.9833,22.79,75,100,0.48,NP,1621986909
Valdivia,-39.8142,-73.2459,12.05,98,100,2.04,CL,1621986738
Asilah,35.465,-6.0348,20.98,66,75,4.97,MA,1621987022
Soyo,-6.1349,12.3689,25.6,88,50,3.48,AO,1621986845
Moscow,55.7522,37.6156,11.33,64,86,0.98,RU,1621986826
Cehegín,38.0924,-1.7985,15.09,82,50,2.76,ES,1621986757
Goderich,43.7501,-81.7165,26.18,47,71,5.66,CA,1621987024
San Rafael,-34.6177,-68.3301,13.73,42,43,2.54,AR,1621987025
Guerrero Negro,27.9769,-114.0611,20.62,58,64,6.42,MX,1621986869
Narasannapeta,18.4167,84.05,27.55,49,100,2.5,IN,1621987025
Kismayo,-0.3582,42.5454,25.61,76,3,7.36,SO,1621987026
Korla,41.7597,86.1469,22.92,21,22,2.56,CN,1621986969
Hopkinsville,36.8656,-87.4886,29.73,83,78,3.05,US,1621987000
Port Augusta,-32.5,137.7667,12.62,53,43,2.44,AU,1621986948
Severnoye,56.3491,78.3619,16.7,73,4,1.74,RU,1621986812
Yidu,24.1614,115.1328,26.48,86,68,1.0,CN,1621987029
Myski,53.709,87.8014,14.27,98,94,1.44,RU,1621986740
Neryungri,56.6709,124.6491,2.19,100,100,0.19,RU,1621987029
Yar-Sale,66.8333,70.8333,1.49,81,100,3.68,RU,1621986843
Caxito,-8.5785,13.6643,20.66,89,19,1.65,AO,1621986968
Stratford-upon-Avon,52.1917,-1.7073,7.42,86,20,2.91,GB,1621987030
Puerto Nariño,-3.7703,-70.3831,22.99,95,98,0.78,CO,1621986951
Cayenne,4.9333,-52.3333,26.72,88,0,1.79,GF,1621986708
Rocha,-34.4833,-54.3333,7.91,73,0,2.32,UY,1621986951
Grand Gaube,-20.0064,57.6608,21.32,81,9,1.34,MU,1621986671
Shangqiu,34.45,115.65,21.05,66,98,7.47,CN,1621987032
Celestún,20.8667,-90.4,29.34,69,53,7.24,MX,1621987032
Guanambi,-14.2233,-42.7814,26.77,35,3,7.55,BR,1621987033
Kungurtug,50.5994,97.5228,6.88,93,100,1.22,RU,1621987033
Vila,42.0304,-8.1588,9.27,68,100,1.79,PT,1621987034
Nome,64.5011,-165.4064,21.04,23,1,5.66,US,1621986677
Mercedes,-34.6515,-59.4307,9.56,72,5,1.12,AR,1621987034
Yeppoon,-23.1333,150.7333,21.88,67,1,3.54,AU,1621986858
Kargasok,59.0556,80.8572,7.7,60,94,3.89,RU,1621987035
Coos Bay,43.3665,-124.2179,14.58,81,32,4.3,US,1621987035
Hamilton,39.1834,-84.5333,28.57,78,97,1.86,US,1621987000
Bauchi,10.5,10.0,27.65,38,59,2.48,NG,1621987036
Athabasca,54.7169,-113.2854,14.18,35,100,2.45,CA,1621987036
Gladstone,-23.85,151.25,21.96,56,1,2.57,AU,1621987037
Cumberland,35.0502,-78.8664,29.61,51,75,4.04,US,1621986921
Laas,46.6166,10.7002,6.51,62,35,0.62,IT,1621986705
Fuxin,42.0156,121.6589,16.57,34,100,3.06,CN,1621987041
Erdaojiang,41.7764,126.0319,10.02,86,100,0.4,CN,1621987041
Biak,-0.9131,122.8766,26.62,75,88,2.97,ID,1621987042
Goma,-1.6792,29.2228,17.85,92,96,0.56,CD,1621987042
Payson,40.0444,-111.7321,22.69,23,100,0.89,US,1621987043
Flin Flon,54.7682,-101.865,0.91,64,90,6.85,CA,1621987043
Igbo-Ora,7.4333,3.2833,24.16,93,100,2.7,NG,1621987044
Syracuse,37.0881,15.2792,17.49,86,24,4.73,IT,1621987044
Tombouctou,20.0,-3.0,33.64,21,79,0.8,ML,1621987044
