City,Latitude,Longitude,Max Temperature,Humidity %,Cloudiness %,Wind Speed (km/hr),Country,Date
Singaraja,-8.112,115.0882,26.57,82,98,2.51,ID,1622047308
Norrtälje,59.758,18.705,8.67,97,100,6.19,SE,1622047060
Fort Dodge,42.4975,-94.168,21.15,49,1,4.12,US,1622047156
Coquimbo,-29.9533,-71.3436,14.85,82,0,2.32,CL,1622046468
Riyadh,24.6877,46.7219,40.03,7,20,4.12,SA,1622047309
Colotlán,22.1,-103.2667,28.89,26,4,0.95,MX,1622047309
Vao,-22.6667,167.4833,21.86,69,48,5.3,NC,1622047310
Bandarbeyla,9.4942,50.8122,26.56,80,42,12.42,SO,1622047310
Mackenzie,55.2999,-123.1698,9.12,81,40,2.06,CA,1622047310
Pakxan,18.3778,103.6601,24.66,94,83,1.74,LA,1622047311
Tautira,-17.7333,-149.15,24.01,76,30,3.76,PF,1622047311
Rawson,-43.3002,-65.1023,13.8,52,59,10.16,AR,1622047311
Mitsamiouli,-11.3847,43.2844,26.26,68,29,6.37,KM,1622047312
Cururupu,-1.8283,-44.8683,32.16,50,23,3.35,BR,1622047143
Yablonovo,50.8523,37.3574,22.92,75,13,2.75,RU,1622047313
Luwuk,-0.9516,122.7875,25.42,84,48,1.88,ID,1622047313
Dingle,10.9995,122.6711,25.72,87,80,1.61,PH,1622047313
Kahului,20.8947,-156.47,22.35,83,40,2.06,US,1622047097
Marion,39.7684,-86.1555,20.73,91,90,3.58,US,1622047223
Keuruu,62.2667,24.7,7.29,91,100,7.66,FI,1622047314
Jining,35.405,116.5814,20.0,1,6,1.56,CN,1622047315
Rudnogorsk,57.2639,103.7519,-0.09,78,62,2.85,RU,1622047316
Pimentel,-6.8367,-79.9342,19.44,88,90,1.34,PE,1622047316
Hauterive,46.0901,3.4459,20.01,62,68,2.38,FR,1622047269
Bloemfontein,-29.1211,26.214,14.71,41,0,1.54,ZA,1622047224
Balkanabat,39.5108,54.3671,23.94,61,99,5.33,TM,1622047317
Bilma,18.6853,12.9164,36.8,5,0,1.36,NE,1622047278
Kapustin Yar,48.5831,45.7372,19.31,51,94,6.82,RU,1622047318
Nurota,40.5614,65.6886,28.05,21,62,0.57,UZ,1622047318
St. George's,12.0564,-61.7485,30.82,66,40,9.26,GD,1622047318
Siuna,13.7332,-84.7773,27.85,75,78,2.75,NI,1622047319
Elko,41.0002,-115.5012,13.09,44,0,1.34,US,1622047285
Dimitrovgrad,54.2139,49.6184,20.03,72,4,2.22,RU,1622047320
College,64.8569,-147.8028,8.86,61,75,2.06,US,1622047320
Tsukumiura,33.0706,131.8572,16.27,96,100,6.43,JP,1622047321
Maragogi,-9.0122,-35.2225,27.46,66,8,5.4,BR,1622047085
Esmeraldas,-19.7625,-44.3139,27.95,48,35,2.17,BR,1622047322
Muroto-misakicho,33.2833,134.15,15.83,89,100,4.59,JP,1622047322
Newberry,34.2746,-81.6187,31.0,55,54,3.29,US,1622047138
Buraidah,26.326,43.975,37.25,10,0,4.17,SA,1622047261
Nelson Bay,-32.7167,152.15,10.61,73,0,6.28,AU,1622047324
Mareeba,-17.0,145.4333,16.91,92,95,0.98,AU,1622047325
Paredon,16.0333,-93.8667,33.14,52,90,2.78,MX,1622047325
Altay,47.8667,88.1167,20.73,31,0,2.99,CN,1622047325
Tuatapere,-46.1333,167.6833,5.14,89,63,3.31,NZ,1622047279
Inírida,3.8653,-67.9239,24.83,88,100,0.43,CO,1622047326
Paducah,37.0834,-88.6001,21.78,95,75,3.83,US,1622047091
Aracati,-4.5617,-37.7697,32.27,44,15,5.54,BR,1622047295
Hofn,64.2539,-15.2082,10.01,62,20,6.69,IS,1622047327
Mingshui,36.7167,117.5,18.58,61,0,2.54,CN,1622047328
Zion,42.4461,-87.8328,24.48,43,1,4.63,US,1622047328
Kikwit,-5.041,18.8162,25.97,44,14,1.47,CD,1622047329
Guaraniaçu,-25.1008,-52.8781,17.69,48,82,0.37,BR,1622047330
Gaza,31.5,34.4667,27.39,65,0,3.79,PS,1622047330
Da Lat,11.9465,108.4419,16.07,98,99,0.63,VN,1622047331
Mastic Beach,40.7668,-72.8521,22.49,84,90,0.45,US,1622047331
Dvinskoy Bereznik,62.8551,42.7072,5.18,66,89,0.85,RU,1622047331
Mlimba,-8.8,35.8167,19.98,72,6,1.57,TZ,1622047332
Korla,41.7597,86.1469,26.88,13,98,3.72,CN,1622047332
Soe,-9.8607,124.284,18.6,90,58,2.81,ID,1622047333
Maple Creek,49.9168,-109.4848,10.16,71,100,6.69,CA,1622047333
Talnakh,69.4865,88.3972,-8.98,96,30,2.11,RU,1622047334
Port Hedland,-20.3167,118.5667,23.03,35,100,4.63,AU,1622047334
Bull Savanna,17.8868,-77.5902,29.45,62,65,4.53,JM,1622047335
Dejen,10.1667,38.1333,20.4,31,67,0.9,ET,1622047336
Le Havre,49.4938,0.1077,14.2,70,0,3.09,FR,1622047336
Petites Anses,15.8501,-61.6442,30.79,70,18,6.95,GP,1622047337
Rio Claro,-22.4114,-47.5614,27.47,30,6,1.54,BR,1622047203
Grand-Santi,4.25,-54.3833,28.12,84,75,1.11,GF,1622047338
Vila Velha,-20.3297,-40.2925,26.5,71,40,3.13,BR,1622047210
Rabo de Peixe,37.8,-25.5833,17.73,82,40,4.93,PT,1622047338
Varhaug,58.6147,5.6457,13.68,68,97,3.0,NO,1622047339
Sibu,2.3,111.8167,26.17,94,40,1.0,MY,1622047339
Borazjan,29.2666,51.2159,31.63,26,0,2.68,IR,1622047340
Evensk,61.95,159.2333,3.2,97,100,7.75,RU,1622047340
Zambezi,-13.5432,23.1047,17.94,41,0,2.11,ZM,1622047341
Kiryat Gat,31.61,34.7642,26.83,46,0,3.76,IL,1622047341
Valladolid,41.5833,-4.6667,24.05,28,66,2.67,ES,1622047341
Saint Anthony,45.0205,-93.218,12.94,60,40,1.79,US,1622047163
Isangel,-19.55,169.2667,21.31,77,16,2.91,VU,1622047229
Tirodi,21.6833,79.7,33.12,18,100,2.27,IN,1622047342
Naze,28.3667,129.4833,24.35,89,30,8.67,JP,1622047281
Sanming,26.2486,117.6186,24.22,94,84,1.83,CN,1622047343
Behshahr,36.6923,53.5526,19.97,87,100,2.98,IR,1622047343
Skjervøy,70.0311,20.9714,8.0,68,7,4.47,NO,1622047338
Sakakah,29.9697,40.2064,36.76,11,0,3.32,SA,1622047344
Shenjiamen,29.9576,122.298,19.34,98,100,4.05,CN,1622047344
Bambanglipuro,-7.95,110.2833,25.45,84,72,2.62,ID,1622047345
Meaford,44.6001,-80.583,21.61,75,99,9.07,CA,1622047080
Sambava,-14.2667,50.1667,23.77,83,3,5.34,MG,1622047296
Santa Maria,-29.6842,-53.8069,19.61,49,0,0.81,BR,1622047238
Salamanca,40.8333,-6.0,20.19,31,25,4.44,ES,1622047346
Altona,53.55,9.9333,12.95,72,20,6.17,DE,1622047347
Trairi,-3.2778,-39.2689,30.14,59,17,5.24,BR,1622047067
Jacareacanga,-6.2222,-57.7528,34.58,33,5,2.13,BR,1622047347
Grindavik,63.8424,-22.4338,9.68,81,75,13.27,IS,1622047348
Ilulissat,69.2167,-51.1,7.01,61,75,3.09,GL,1622047348
Waycross,31.2136,-82.354,30.81,45,1,2.57,US,1622047349
Great Bend,38.3645,-98.7648,27.96,69,1,3.13,US,1622047349
Nhulunbuy,-12.2333,136.7667,24.34,69,40,5.14,AU,1622047350
Ahipara,-35.1667,173.1667,10.87,77,12,2.52,NZ,1622047311
Kapuskasing,49.4169,-82.4331,7.0,81,90,9.26,CA,1622047350
Labuhan,-6.8844,112.2051,26.6,83,30,4.31,ID,1622047351
Keti Bandar,24.1447,67.4497,29.27,83,4,6.79,PK,1622047351
Yokadouma,3.5167,15.05,21.88,98,100,1.47,CM,1622047352
Falmouth,50.1544,-5.0711,13.68,72,20,3.09,GB,1622047352
Alta Floresta,-9.8756,-56.0861,31.22,49,11,1.76,BR,1622047353
Eureka,40.8021,-124.1637,10.99,89,36,0.45,US,1622046995
Miandrivazo,-19.5167,45.4667,21.58,69,45,1.53,MG,1622047353
Flin Flon,54.7682,-101.865,0.91,51,20,2.37,CA,1622047134
Mildura,-34.2,142.15,5.98,93,4,1.54,AU,1622047354
Sørland,67.667,12.6934,6.92,81,2,10.2,NO,1622047354
Bāfq,31.6128,55.4107,27.84,20,0,8.56,IR,1622047355
Aljezur,37.3191,-8.8033,20.18,62,14,3.8,PT,1622047355
Buin,-33.7333,-70.75,19.5,21,5,0.77,CL,1622047356
Zhigansk,66.7697,123.3711,9.38,61,93,3.17,RU,1622047356
San Miguel de Tucumán,-26.8241,-65.2226,21.0,52,0,1.76,AR,1622047356
Khāsh,28.2211,61.2158,29.22,17,87,1.98,IR,1622047357
Dzhebariki-Khaya,62.2167,135.8,3.89,94,23,0.48,RU,1622047358
Orlea,43.75,24.3833,26.42,70,18,0.28,RO,1622047358
Mt. Pleasant,32.7941,-79.8626,28.84,70,1,0.89,US,1622047353
Hinton,53.4001,-117.5857,14.02,51,81,1.7,CA,1622047119
Puerto Asís,0.5133,-76.5007,23.31,99,100,0.54,CO,1622047359
Shangrao,28.4532,117.9686,21.3,98,100,3.02,CN,1622047090
Lata,40.1629,-8.3327,17.6,47,75,3.68,PT,1622047359
Nishihara,26.1842,127.7558,26.6,94,20,7.81,JP,1622047360
Mogadishu,2.0371,45.3438,26.21,78,61,6.75,SO,1622047322
Anamur,36.0751,32.8369,26.01,59,0,3.59,TR,1622047361
Kabompo,-13.5927,24.2008,17.25,42,0,2.43,ZM,1622047361
Paita,-5.0892,-81.1144,25.31,75,22,5.06,PE,1622047361
Assiut,27.181,31.1837,38.1,11,0,4.99,EG,1622047344
Shinjō,38.7586,140.3008,9.52,95,100,1.51,JP,1622047362
Safi,32.2994,-9.2372,19.56,78,39,5.3,MA,1622047270
Ballina,-28.8667,153.5667,12.78,96,40,0.0,AU,1622047363
Porbandar,21.6422,69.6093,28.68,83,73,7.67,IN,1622047208
Richards Bay,-28.783,32.0377,18.99,88,5,1.54,ZA,1622047246
Quang Ngai,15.1167,108.8,25.4,88,56,2.03,VN,1622047367
Zyryanka,65.75,150.85,9.02,63,99,2.76,RU,1622047367
‘Āhuimanu,21.4447,-157.8378,23.04,78,20,2.06,US,1622047354
Porangatu,-13.4408,-49.1486,34.58,25,75,2.85,BR,1622047368
Nizhniy Tsasuchey,50.5167,115.1333,7.43,73,86,2.54,RU,1622047369
Gravdal,68.1214,13.5031,8.94,66,20,9.26,NO,1622047369
Shitanjing,39.2342,106.3439,16.88,16,0,5.26,CN,1622047369
Smithers,54.7804,-127.1743,6.18,87,90,0.0,CA,1622047370
Waddān,29.1614,16.139,35.76,12,0,6.36,LY,1622047238
Iqaluit,63.7506,-68.5145,-1.28,74,90,1.79,CA,1622047293
Abéché,13.8292,20.8324,34.64,8,1,3.2,TD,1622047371
Moranbah,-22.0016,148.0466,15.7,78,0,2.44,AU,1622047371
Chute-aux-Outardes,49.1168,-68.399,14.99,94,75,4.11,CA,1622047372
Brownsville,25.9018,-97.4975,30.82,76,75,2.68,US,1622047132
Anadyr,64.75,177.4833,9.28,34,0,3.56,RU,1622047234
Kupang,-10.1667,123.5833,26.01,76,38,6.37,ID,1622047292
Poum,-20.2333,164.0167,22.0,60,38,5.17,NC,1622047220
Lovozero,68.005,35.0117,5.29,56,84,2.92,RU,1622047373
Champerico,14.3,-91.9167,32.25,59,72,2.02,GT,1622047306
Ankang,32.68,109.0172,18.54,82,100,0.68,CN,1622047363
Tual,-5.6667,132.75,27.54,78,99,10.59,ID,1622047141
Warrington,53.3925,-2.5802,14.3,70,20,3.13,GB,1622047374
Lebedinyy,58.5167,125.5167,2.56,84,60,1.44,RU,1622047374
Taltal,-25.4,-70.4833,20.46,60,89,1.07,CL,1622047146
Manbij,36.5281,37.9549,31.43,17,0,7.27,SY,1622047375
Egvekinot,66.3167,-179.1667,-0.14,59,80,5.95,RU,1622047376
Sisimiut,66.9395,-53.6735,7.85,62,100,3.99,GL,1622047376
Nosy Varika,-20.5833,48.5333,20.93,83,0,0.71,MG,1622047376
Broken Hill,-31.95,141.4333,5.84,70,0,1.54,AU,1622047313
Portadown,54.4241,-6.4412,15.27,68,36,2.03,GB,1622047377
Vertou,47.1687,-1.4693,15.1,77,90,5.41,FR,1622047379
Bathsheba,13.2167,-59.5167,31.34,51,40,7.12,BB,1622047330
Tongchuanshi,35.0806,109.0897,18.75,28,63,2.43,CN,1622047265
Alta,69.9689,23.2717,7.59,49,0,4.63,NO,1622047380
Ponta Delgada,37.7333,-25.6667,18.4,82,40,7.2,PT,1622047380
Sindor,62.8629,51.8905,4.84,52,97,1.85,RU,1622047381
Mlonggo,-6.5333,110.7,26.64,85,12,3.55,ID,1622047381
San Cristobal,7.7669,-72.225,26.1,37,25,4.67,VE,1622047226
Omsukchan,62.5333,155.8,-1.19,93,100,2.28,RU,1622047370
Coari,-4.085,-63.1414,30.97,61,30,1.13,BR,1622047343
Lagos,6.5833,3.75,29.59,72,95,4.8,NG,1622047155
Huinan,42.6225,126.2614,5.95,93,78,1.7,CN,1622047382
Goderich,43.7501,-81.7165,17.27,88,100,7.2,CA,1622047383
Kalmar,56.6616,16.3616,13.65,65,20,5.66,SE,1622047383
Nālūt,30.3333,10.85,36.14,9,2,6.97,LY,1622047384
Galle,6.0367,80.217,27.37,82,79,8.71,LK,1622047384
Weyburn,49.6668,-103.8511,5.12,60,35,2.57,CA,1622047385
Safita,34.8205,36.1153,22.63,62,0,1.12,SY,1622047385
Eyrarbakki,63.863,-21.1481,14.39,77,99,8.28,IS,1622047386
Batemans Bay,-35.7167,150.1833,9.39,77,1,2.21,AU,1622047386
Mana,5.6592,-53.7767,28.07,81,87,3.7,GF,1622047386
Taguatinga,-12.3857,-46.5711,34.76,20,27,2.9,BR,1622047387
Sorong,-0.8833,131.25,25.54,91,100,5.19,ID,1622047387
Cheremkhovo,53.1561,103.0675,4.72,75,48,3.9,RU,1622047388
Peniche,39.3558,-9.3811,18.81,71,99,7.34,PT,1622047389
Bubaque,11.2833,-15.8333,26.07,74,98,5.37,GW,1622047345
Kaitangata,-46.2817,169.8464,1.49,69,11,1.9,NZ,1622047223
Leshukonskoye,64.8989,45.7622,5.83,50,82,2.24,RU,1622047389
Ubari,26.5921,12.7805,39.64,7,20,4.19,LY,1622047390
Rongcheng,30.634,117.8517,19.17,98,86,1.96,CN,1622047390
Monywa,22.1167,95.1333,30.76,57,57,8.67,MM,1622047391
